Source,Target,Type,Id,Label,timeset,Weight
5252078,165645093,Directed,179,,,1
5252078,238708112,Directed,180,,,1
5252078,241130407,Directed,181,,,1
5252078,268087726,Directed,182,,,1
5252078,298612534,Directed,183,,,1
5252078,309380107,Directed,184,,,1
5252078,310516983,Directed,185,,,1
5252078,313046065,Directed,186,,,1
5252078,603178824,Directed,187,,,1
5400033,182513,Directed,188,,,1
5400033,3475204,Directed,189,,,1
5400033,6748955,Directed,190,,,1
5400033,10456983,Directed,191,,,1
5400033,13400887,Directed,192,,,1
5400033,20044768,Directed,193,,,1
5400033,22892068,Directed,194,,,1
5400033,51243629,Directed,195,,,1
5400033,134412843,Directed,196,,,1
5400033,137678590,Directed,197,,,1
5400033,182961149,Directed,198,,,1
5400033,329769278,Directed,199,,,1
5400033,377608556,Directed,200,,,1
6023505,7760561,Directed,201,,,1
6023505,8761370,Directed,202,,,1
6023505,19102982,Directed,203,,,1
6023505,24364207,Directed,204,,,1
6023505,51088180,Directed,205,,,1
6023505,56876297,Directed,206,,,1
6023505,67239996,Directed,207,,,1
6023505,68787816,Directed,208,,,1
6023505,103900446,Directed,209,,,1
6023505,161359926,Directed,210,,,1
6023505,329769278,Directed,211,,,1
6093629,21789442,Directed,212,,,1
6093629,22939550,Directed,213,,,1
6093629,25193879,Directed,214,,,1
6093629,26702622,Directed,215,,,1
6093629,31398768,Directed,216,,,1
6093629,32996573,Directed,217,,,1
6093629,35413398,Directed,218,,,1
6093629,56879789,Directed,219,,,1
6093629,58448006,Directed,220,,,1
6093629,59400046,Directed,221,,,1
6093629,103603011,Directed,222,,,1
6093629,117240274,Directed,223,,,1
6093629,125476160,Directed,224,,,1
6093629,135638548,Directed,225,,,1
6093629,140724383,Directed,226,,,1
6093629,143336419,Directed,227,,,1
6093629,161359926,Directed,228,,,1
6093629,202962719,Directed,229,,,1
6093629,227448827,Directed,230,,,1
6113425,57872530,Directed,231,,,1
6113425,141954856,Directed,232,,,1
6113425,156763202,Directed,233,,,1
6113425,195983394,Directed,234,,,1
6113425,230662240,Directed,235,,,1
6113425,238708112,Directed,236,,,1
6660444,681368,Directed,237,,,1
6660444,20030036,Directed,238,,,1
6660444,29361763,Directed,239,,,1
6660444,45862629,Directed,240,,,1
6660444,77665676,Directed,241,,,1
6660444,103900446,Directed,242,,,1
6660444,111698345,Directed,243,,,1
6660444,141954856,Directed,244,,,1
6660444,156763202,Directed,245,,,1
6660444,284700336,Directed,246,,,1
6660444,445656147,Directed,247,,,1
6748955,3475204,Directed,248,,,1
6748955,5400033,Directed,249,,,1
6748955,11629386,Directed,250,,,1
6748955,20044768,Directed,251,,,1
6748955,22892068,Directed,252,,,1
6748955,137678590,Directed,253,,,1
6748955,161359926,Directed,254,,,1
6748955,323551446,Directed,255,,,1
6748955,329769278,Directed,256,,,1
7299879,1687066,Directed,257,,,1
7299879,1895348,Directed,258,,,1
7299879,15604345,Directed,259,,,1
7347081,99258238,Directed,260,,,1
7347081,319046433,Directed,261,,,1
7760561,6023505,Directed,262,,,1
7760561,95754275,Directed,263,,,1
7760561,155862760,Directed,264,,,1
7760561,155959506,Directed,265,,,1
